variable,type,var,f_1,f_2,f_3,metric,export_1
disp_click,2,Display,,,,m_3,Display_Click
disp_imp,2,Display,,,,m_2,Display_Impression
disp_spd,2,Display,,,,m_1,Display_Spend
local_mobile_clk,2,Local Mobile,,,,m_3,Local Mobile_Click
local_mobile_imp,2,Local Mobile,,,,m_2,Local Mobile_Impression
local_mobile_spd,2,Local Mobile,,,,m_1,Local Mobile_Spend
lr_grp,2,Local Radio,,,,m_3,Local Radio_GRP
lr_imp,2,Local Radio,,,,m_2,Local Radio_Impression
lr_spd,2,Local Radio,,,,m_1,Local Radio_Spend
lt_grp,2,Local TV,,,,m_3,Local TV_GRP
lt_imp,2,Local TV,,,,m_2,Local TV_Impression
lt_spd,2,Local TV,,,,m_1,Local TV_Spend
mag_grp,2,Magazine,,,,m_3,Magazine_GRP
mag_imp,2,Magazine,,,,m_2,Magazine_Impression
mag_spd,2,Magazine,,,,m_1,Magazine_Spend
nr_dgt_grp,2,Network Radio,Digital,,,m_3,Network Radio_Digital_GRP
nr_dgt_imp,2,Network Radio,Digital,,,m_2,Network Radio_Digital_Impression
nr_dgt_spd,2,Network Radio,Digital,,,m_1,Network Radio_Digital_Spend
nr_terr_grp,2,Network Radio,Territail,,,m_3,Network Radio_Territail_GRP
nr_terr_imp,2,Network Radio,Territail,,,m_2,Network Radio_Territail_Impression
nr_terr_spd,2,Network Radio,Territail,,,m_1,Network Radio_Territail_Spend
nt_imp,2,National TV,,,,m_2,National TV_Impression
nt_spd,2,National TV,,,,m_1,National TV_Spend
ooh_imp,2,OOH,,,,m_2,OOH_Impression
ooh_spd,2,OOH,,,,m_1,OOH_Spend
psch_clk_dsktp_pla_br,2,Search,Desktop,PLA,Brand,m_3,Search_Desktop_PLA_Brand_Click
psch_clk_dsktp_pla_nbr,2,Search,Desktop,PLA,Non-Brand,m_3,Search_Desktop_PLA_Non-Brand_Click
psch_clk_dsktp_reg_br,2,Search,Desktop,Regular,Brand,m_3,Search_Desktop_Regular_Brand_Click
psch_clk_dsktp_reg_nbr,2,Search,Desktop,Regular,Non-Brand,m_3,Search_Desktop_Regular_Non-Brand_Click
psch_clk_mo_pla_br,2,Search,Mobile,PLA,Brand,m_3,Search_Mobile_PLA_Brand_Click
psch_clk_mo_pla_nbr,2,Search,Mobile,PLA,Non-Brand,m_3,Search_Mobile_PLA_Non-Brand_Click
psch_clk_mo_reg_br,2,Search,Mobile,Regular,Brand,m_3,Search_Mobile_Regular_Brand_Click
psch_clk_mo_reg_nbr,2,Search,Mobile,Regular,Non-Brand,m_3,Search_Mobile_Regular_Non-Brand_Click
psch_clk_tblt_pla_br,2,Search,Tablet,PLA,Brand,m_3,Search_Tablet_PLA_Brand_Click
psch_clk_tblt_pla_nbr,2,Search,Tablet,PLA,Non-Brand,m_3,Search_Tablet_PLA_Non-Brand_Click
psch_clk_tblt_reg_br,2,Search,Tablet,Regular,Brand,m_3,Search_Tablet_Regular_Brand_Click
psch_clk_tblt_reg_nbr,2,Search,Tablet,Regular,Non-Brand,m_3,Search_Tablet_Regular_Non-Brand_Click
psch_imp_dsktp_pla_br,2,Search,Desktop,PLA,Brand,m_2,Search_Desktop_PLA_Brand_Impression
psch_imp_dsktp_pla_nbr,2,Search,Desktop,PLA,Non-Brand,m_2,Search_Desktop_PLA_Non-Brand_Impression
psch_imp_dsktp_reg_br,2,Search,Desktop,Regular,Brand,m_2,Search_Desktop_Regular_Brand_Impression
psch_imp_dsktp_reg_nbr,2,Search,Desktop,Regular,Non-Brand,m_2,Search_Desktop_Regular_Non-Brand_Impression
psch_imp_mo_pla_br,2,Search,Mobile,PLA,Brand,m_2,Search_Mobile_PLA_Brand_Impression
psch_imp_mo_pla_nbr,2,Search,Mobile,PLA,Non-Brand,m_2,Search_Mobile_PLA_Non-Brand_Impression
psch_imp_mo_reg_br,2,Search,Mobile,Regular,Brand,m_2,Search_Mobile_Regular_Brand_Impression
psch_imp_mo_reg_nbr,2,Search,Mobile,Regular,Non-Brand,m_2,Search_Mobile_Regular_Non-Brand_Impression
psch_imp_tblt_pla_br,2,Search,Tablet,PLA,Brand,m_2,Search_Tablet_PLA_Brand_Impression
psch_imp_tblt_pla_nbr,2,Search,Tablet,PLA,Non-Brand,m_2,Search_Tablet_PLA_Non-Brand_Impression
psch_imp_tblt_reg_br,2,Search,Tablet,Regular,Brand,m_2,Search_Tablet_Regular_Brand_Impression
psch_imp_tblt_reg_nbr,2,Search,Tablet,Regular,Non-Brand,m_2,Search_Tablet_Regular_Non-Brand_Impression
psch_spd_dsktp_pla_br,2,Search,Desktop,PLA,Brand,m_1,Search_Desktop_PLA_Brand_Spend
psch_spd_dsktp_pla_nbr,2,Search,Desktop,PLA,Non-Brand,m_1,Search_Desktop_PLA_Non-Brand_Spend
psch_spd_dsktp_reg_br,2,Search,Desktop,Regular,Brand,m_1,Search_Desktop_Regular_Brand_Spend
psch_spd_dsktp_reg_nbr,2,Search,Desktop,Regular,Non-Brand,m_1,Search_Desktop_Regular_Non-Brand_Spend
psch_spd_mo_pla_br,2,Search,Mobile,PLA,Brand,m_1,Search_Mobile_PLA_Brand_Spend
psch_spd_mo_pla_nbr,2,Search,Mobile,PLA,Non-Brand,m_1,Search_Mobile_PLA_Non-Brand_Spend
