salchan1_name,sales1_name,chan1_name,chan2_name,chan3_name,dma1_name,var,beta,hl,hrf,max,cpp,apprate,ratio,m_1,m_2
Bank,DDA,Consumer Bank,Solution,TV,National,Solution_TV,49.35767075,0.6,0.4,2991279.36,1,1,1,1,262
Bank,DDA,Consumer Bank,Solution,Display,National,Solution_Display,966.4698644,0.3,0.3,490867,1,1,1,1,262
Bank,DDA,Consumer Bank,Solution,Search,National,Solution_Search,94.08067442,0.3,0.45,126306.7,1,1,1,1,262
Bank,DDA,Consumer Bank,Amerideal,TV,National,Amerideal_TV,363.8001794,0.3,0.4,1352794.88,1,1,1,1,262
Bank,DDA,Consumer Bank,Amerideal,Display,National,Amerideal_Display,883.201961,0.3,0.3,276015,1,1,1,1,262
Bank,DDA,Consumer Bank,Amerideal,Search,National,Amerideal_Search,402.2170646,0.3,0.45,238920.7,1,1,1,1,262
Bank,DDA,Consumer Bank,CB General,TV,National,CB General_TV,348.4686869,1,0.4,1625575.017,1,1,1,1,262
Bank,DDA,Consumer Bank,CB General,Display,National,CB General_Display,134.9853372,1,0.3,355183,1,1,1,1,262
Bank,DDA,Consumer Bank,CB General,Search,National,CB General_Search,228.9054173,1,0.45,252204,1,1,1,1,262
Bank,DDA,Consumer Bank,CB General,Other,National,CB General_Other,3.91993726,1,0.75,32225.3,1,1,1,1,262
Bank,DDA,CSR,CSR,TV,National,CSR_TV,614.1335394,4,0.6,7917475.24,1,1,1,1,262
Bank,DDA,CSR,CSR,Print,National,CSR_Print,67.64300438,2,0.7,1757045.93,1,1,1,1,262
Bank,DDA,CSR,CSR,Online,National,CSR_Online,1207.382888,0.3,0.4,1444445.5,1,1,1,1,262
Bank,DDA,CSR,CSR,Other,National,CSR_Other,168.4457119,4,0.15,308182.4,1,1,1,1,262
Bank,Retention,Consumer Bank,Card,TV,National,Card_TV,1753.593347,5,0.4,9076623.7,1,1,1,1,287
Bank,Retention,Consumer Bank,Card,Display,National,Card_Display,659.2346062,5,0.3,1915619,1,1,1,1,287
Bank,Retention,Consumer Bank,Card,Search,National,Card_Search,161.0809988,5,0.45,296998.8,1,1,1,1,287
Bank,Retention,Consumer Bank,Card,Other,National,Card_Other,53.56355288,5,0.6,328511.1,1,1,1,1,287
Bank,Retention,Consumer Bank,Solution,TV,National,Solution_TV,581.5439169,5,0.4,2991279.36,1,1,1,1,287
Bank,Retention,Consumer Bank,Solution,Display,National,Solution_Display,1934.548202,0.4,0.3,490867,1,1,1,1,287
Bank,Retention,Consumer Bank,Solution,Search,National,Solution_Search,703.1337258,0.4,0.45,126306.7,1,1,1,1,287
Bank,Retention,Consumer Bank,Amerideal,TV,National,Amerideal_TV,250.9282567,4,0.4,1352794.88,1,1,1,1,287
Bank,Retention,Consumer Bank,Amerideal,Display,National,Amerideal_Display,94.94482677,4,0.3,276015,1,1,1,1,287
Bank,Retention,Consumer Bank,Amerideal,Search,National,Amerideal_Search,67.43276487,4,0.45,238920.7,1,1,1,1,287
Bank,Retention,Consumer Bank,Amerideal,Other,National,Amerideal_Other,0.688967589,4,0.75,12763,1,1,1,1,287
Bank,Retention,CSR,CSR,TV,National,CSR_TV,1510.95952,5,0.6,7917475.24,1,1,1,1,287
Bank,Retention,CSR,CSR,Print,National,CSR_Print,144.6723028,0.3,0.7,1757045.93,1,1,1,1,287
Bank,Retention,CSR,CSR,Online,National,CSR_Online,1344.967017,5,0.4,1444445.5,1,1,1,1,287
Bank,Saving,Consumer Bank,Solution,TV,National,Solution_TV,16.18763948,0.6,0.4,2991279.36,1,1,1,1,177
Bank,Saving,Consumer Bank,Solution,Display,National,Solution_Display,316.2044515,0.3,0.3,490867,1,1,1,1,177
Bank,Saving,Consumer Bank,Solution,Search,National,Solution_Search,30.88544602,0.3,0.45,126306.7,1,1,1,1,177
Bank,Saving,Consumer Bank,Amerideal,TV,National,Amerideal_TV,119.1632503,0.3,0.4,1352794.88,1,1,1,1,177
Bank,Saving,Consumer Bank,Amerideal,Display,National,Amerideal_Display,295.6867335,0.3,0.3,276015,1,1,1,1,177
Bank,Saving,Consumer Bank,Amerideal,Search,National,Amerideal_Search,132.2251373,0.3,0.45,238920.7,1,1,1,1,177
Bank,Saving,Consumer Bank,CB General,TV,National,CB General_TV,113.4634208,1,0.4,1625575.017,1,1,1,1,177
