"bdgt_id","dma2_name","chan1_name","dma1_name","client_id","chan1_id","dma2_id","dma1_id","week_id","percent_max","sp_max_h","sp_min_h"
"26_11_343_0",NULL,NULL,NULL,12,26,11,343,0,NULL,NULL,NULL
"26_11_343_1",NULL,NULL,NULL,12,26,11,343,1,NULL,NULL,NULL
"26_11_343_10",NULL,NULL,NULL,12,26,11,343,10,NULL,NULL,NULL
"26_11_343_11",NULL,NULL,NULL,12,26,11,343,11,NULL,NULL,NULL
"26_11_343_12",NULL,NULL,NULL,12,26,11,343,12,NULL,NULL,NULL
"26_11_343_13",NULL,NULL,NULL,12,26,11,343,13,NULL,NULL,NULL
"26_11_343_14",NULL,NULL,NULL,12,26,11,343,14,NULL,NULL,NULL
"26_11_343_15",NULL,NULL,NULL,12,26,11,343,15,NULL,NULL,NULL
"26_11_343_16",NULL,NULL,NULL,12,26,11,343,16,NULL,NULL,NULL
"26_11_343_17",NULL,NULL,NULL,12,26,11,343,17,NULL,NULL,NULL
"26_11_343_18",NULL,NULL,NULL,12,26,11,343,18,NULL,NULL,NULL
"26_11_343_19",NULL,NULL,NULL,12,26,11,343,19,NULL,NULL,NULL
"26_11_343_2",NULL,NULL,NULL,12,26,11,343,2,NULL,NULL,NULL
"26_11_343_20",NULL,NULL,NULL,12,26,11,343,20,NULL,NULL,NULL
"26_11_343_21",NULL,NULL,NULL,12,26,11,343,21,NULL,NULL,NULL
"26_11_343_22",NULL,NULL,NULL,12,26,11,343,22,NULL,NULL,NULL
"26_11_343_23",NULL,NULL,NULL,12,26,11,343,23,NULL,NULL,NULL
"26_11_343_24",NULL,NULL,NULL,12,26,11,343,24,NULL,NULL,NULL
"26_11_343_25",NULL,NULL,NULL,12,26,11,343,25,NULL,NULL,NULL
"26_11_343_26",NULL,NULL,NULL,12,26,11,343,26,NULL,NULL,NULL
"26_11_343_27",NULL,NULL,NULL,12,26,11,343,27,NULL,NULL,NULL
"26_11_343_28",NULL,NULL,NULL,12,26,11,343,28,NULL,NULL,NULL
"26_11_343_29",NULL,NULL,NULL,12,26,11,343,29,NULL,NULL,NULL
"26_11_343_3",NULL,NULL,NULL,12,26,11,343,3,NULL,NULL,NULL
"26_11_343_30",NULL,NULL,NULL,12,26,11,343,30,NULL,NULL,NULL
"26_11_343_31",NULL,NULL,NULL,12,26,11,343,31,NULL,NULL,NULL
"26_11_343_32",NULL,NULL,NULL,12,26,11,343,32,NULL,NULL,NULL
"26_11_343_33",NULL,NULL,NULL,12,26,11,343,33,NULL,NULL,NULL
"26_11_343_34",NULL,NULL,NULL,12,26,11,343,34,NULL,NULL,NULL
"26_11_343_35",NULL,NULL,NULL,12,26,11,343,35,NULL,NULL,NULL
"26_11_343_36",NULL,NULL,NULL,12,26,11,343,36,NULL,NULL,NULL
"26_11_343_37",NULL,NULL,NULL,12,26,11,343,37,NULL,NULL,NULL
"26_11_343_38",NULL,NULL,NULL,12,26,11,343,38,NULL,NULL,NULL
"26_11_343_39",NULL,NULL,NULL,12,26,11,343,39,NULL,NULL,NULL
"26_11_343_4",NULL,NULL,NULL,12,26,11,343,4,NULL,NULL,NULL
"26_11_343_40",NULL,NULL,NULL,12,26,11,343,40,NULL,NULL,NULL
"26_11_343_41",NULL,NULL,NULL,12,26,11,343,41,NULL,NULL,NULL
"26_11_343_42",NULL,NULL,NULL,12,26,11,343,42,NULL,NULL,NULL
"26_11_343_43",NULL,NULL,NULL,12,26,11,343,43,NULL,NULL,NULL
"26_11_343_44",NULL,NULL,NULL,12,26,11,343,44,NULL,NULL,NULL
"26_11_343_45",NULL,NULL,NULL,12,26,11,343,45,NULL,NULL,NULL
"26_11_343_46",NULL,NULL,NULL,12,26,11,343,46,NULL,NULL,NULL
"26_11_343_47",NULL,NULL,NULL,12,26,11,343,47,NULL,NULL,NULL
"26_11_343_48",NULL,NULL,NULL,12,26,11,343,48,NULL,NULL,NULL
"26_11_343_49",NULL,NULL,NULL,12,26,11,343,49,NULL,NULL,NULL
"26_11_343_5",NULL,NULL,NULL,12,26,11,343,5,NULL,NULL,NULL
"26_11_343_50",NULL,NULL,NULL,12,26,11,343,50,NULL,NULL,NULL
"26_11_343_51",NULL,NULL,NULL,12,26,11,343,51,NULL,NULL,NULL
"26_11_343_52",NULL,NULL,NULL,12,26,11,343,52,NULL,NULL,NULL
"26_11_343_53",NULL,NULL,NULL,12,26,11,343,53,NULL,NULL,NULL
"26_11_343_6",NULL,NULL,NULL,12,26,11,343,6,NULL,NULL,NULL
"26_11_343_7",NULL,NULL,NULL,12,26,11,343,7,NULL,NULL,NULL
"26_11_343_8",NULL,NULL,NULL,12,26,11,343,8,NULL,NULL,NULL
"26_11_343_9",NULL,NULL,NULL,12,26,11,343,9,NULL,NULL,NULL
"26_12_344_0",NULL,NULL,NULL,12,26,12,344,0,NULL,NULL,NULL
"26_12_344_1",NULL,NULL,NULL,12,26,12,344,1,NULL,NULL,NULL
"26_12_344_10",NULL,NULL,NULL,12,26,12,344,10,NULL,NULL,NULL
