"chan1_id","dma2_id","dma1_id","chan1_name","dma2_name","dma1_name","bdgt_id","cps"
70,304,417,"DRTV","Albany","Tier 4","70_304_417",""
70,311,416,"DRTV","Baltimore","Tier 3","70_311_416",""
70,310,418,"DRTV","Boston","Tier 2","70_310_418",""
70,302,417,"DRTV","Buffalo","Tier 4","70_302_417",""
70,301,417,"DRTV","Harrisburg","Tier 4","70_301_417",""
70,297,415,"DRTV","New York","Tier 1","70_297_415",""
70,299,416,"DRTV","Norfolk","Tier 3","70_299_416",""
70,305,417,"DRTV","Palm Springs","Tier 4","70_305_417",""
70,307,415,"DRTV","Philadelphia","Tier 1","70_307_415",""
70,313,416,"DRTV","Pittsburgh","Tier 3","70_313_416",""
70,298,416,"DRTV","Providence","Tier 3","70_298_416",""
70,300,416,"DRTV","Richmond","Tier 3","70_300_416",""
70,303,417,"DRTV","Syracuse","Tier 4","70_303_417",""
70,309,418,"DRTV","Tampa","Tier 2","70_309_418",""
70,306,418,"DRTV","Washington, DC","Tier 2","70_306_418",""
67,304,417,"Direct Mail","Albany","Tier 4","67_304_417",""
67,311,416,"Direct Mail","Baltimore","Tier 3","67_311_416",""
67,310,418,"Direct Mail","Boston","Tier 2","67_310_418",""
67,302,417,"Direct Mail","Buffalo","Tier 4","67_302_417",""
67,312,416,"Direct Mail","Dallas","Tier 3","67_312_416",""
67,301,417,"Direct Mail","Harrisburg","Tier 4","67_301_417",""
67,308,418,"Direct Mail","Los Angeles","Tier 2","67_308_418",""
67,297,415,"Direct Mail","New York","Tier 1","67_297_415",""
67,299,416,"Direct Mail","Norfolk","Tier 3","67_299_416",""
67,41,417,"Direct Mail","Other","Tier 4","67_41_417",""
67,305,417,"Direct Mail","Palm Springs","Tier 4","67_305_417",""
67,307,415,"Direct Mail","Philadelphia","Tier 1","67_307_415",""
67,313,416,"Direct Mail","Pittsburgh","Tier 3","67_313_416",""
67,298,416,"Direct Mail","Providence","Tier 3","67_298_416",""
67,300,416,"Direct Mail","Richmond","Tier 3","67_300_416",""
67,303,417,"Direct Mail","Syracuse","Tier 4","67_303_417",""
67,309,418,"Direct Mail","Tampa","Tier 2","67_309_418",""
67,306,418,"Direct Mail","Washington, DC","Tier 2","67_306_418",""
75,304,417,"Hispanic - DM","Albany","Tier 4","75_304_417",""
75,311,416,"Hispanic - DM","Baltimore","Tier 3","75_311_416",""
75,310,418,"Hispanic - DM","Boston","Tier 2","75_310_418",""
75,302,417,"Hispanic - DM","Buffalo","Tier 4","75_302_417",""
75,312,416,"Hispanic - DM","Dallas","Tier 3","75_312_416",""
75,301,417,"Hispanic - DM","Harrisburg","Tier 4","75_301_417",""
75,308,418,"Hispanic - DM","Los Angeles","Tier 2","75_308_418",""
75,297,415,"Hispanic - DM","New York","Tier 1","75_297_415",""
75,299,416,"Hispanic - DM","Norfolk","Tier 3","75_299_416",""
75,41,417,"Hispanic - DM","Other","Tier 4","75_41_417",""
75,305,417,"Hispanic - DM","Palm Springs","Tier 4","75_305_417",""
75,307,415,"Hispanic - DM","Philadelphia","Tier 1","75_307_415",""
75,313,416,"Hispanic - DM","Pittsburgh","Tier 3","75_313_416",""
75,298,416,"Hispanic - DM","Providence","Tier 3","75_298_416",""
75,300,416,"Hispanic - DM","Richmond","Tier 3","75_300_416",""
75,303,417,"Hispanic - DM","Syracuse","Tier 4","75_303_417",""
75,309,418,"Hispanic - DM","Tampa","Tier 2","75_309_418",""
75,306,418,"Hispanic - DM","Washington, DC","Tier 2","75_306_418",""
80,297,415,"Hispanic - DRTV","New York","Tier 1","80_297_415",""
80,306,418,"Hispanic - DRTV","Washington, DC","Tier 2","80_306_418",""
76,310,418,"Hispanic - Display","Boston","Tier 2","76_310_418",""
76,312,416,"Hispanic - Display","Dallas","Tier 3","76_312_416",""
76,308,418,"Hispanic - Display","Los Angeles","Tier 2","76_308_418",""
76,297,415,"Hispanic - Display","New York","Tier 1","76_297_415",""
76,307,415,"Hispanic - Display","Philadelphia","Tier 1","76_307_415",""
76,309,418,"Hispanic - Display","Tampa","Tier 2","76_309_418",""
76,306,418,"Hispanic - Display","Washington, DC","Tier 2","76_306_418",""
79,308,418,"Hispanic - Radio","Los Angeles","Tier 2","79_308_418",""
79,297,415,"Hispanic - Radio","New York","Tier 1","79_297_415",""
82,297,415,"Hispanic - TV","New York","Tier 1","82_297_415",""
65,304,417,"Newspaper","Albany","Tier 4","65_304_417",""
65,311,416,"Newspaper","Baltimore","Tier 3","65_311_416",""
65,310,418,"Newspaper","Boston","Tier 2","65_310_418",""
65,302,417,"Newspaper","Buffalo","Tier 4","65_302_417",""
65,301,417,"Newspaper","Harrisburg","Tier 4","65_301_417",""
65,297,415,"Newspaper","New York","Tier 1","65_297_415",""
65,41,417,"Newspaper","Other","Tier 4","65_41_417",""
65,307,415,"Newspaper","Philadelphia","Tier 1","65_307_415",""
65,298,416,"Newspaper","Providence","Tier 3","65_298_416",""
65,303,417,"Newspaper","Syracuse","Tier 4","65_303_417",""
65,306,418,"Newspaper","Washington, DC","Tier 2","65_306_418",""
288,304,417,"OLV","Albany","Tier 4","288_304_417",""
288,311,416,"OLV","Baltimore","Tier 3","288_311_416",""
288,310,418,"OLV","Boston","Tier 2","288_310_418",""
288,302,417,"OLV","Buffalo","Tier 4","288_302_417",""
288,312,416,"OLV","Dallas","Tier 3","288_312_416",""
288,301,417,"OLV","Harrisburg","Tier 4","288_301_417",""
288,308,418,"OLV","Los Angeles","Tier 2","288_308_418",""
288,297,415,"OLV","New York","Tier 1","288_297_415",""
288,299,416,"OLV","Norfolk","Tier 3","288_299_416",""
288,41,417,"OLV","Other","Tier 4","288_41_417",""
288,305,417,"OLV","Palm Springs","Tier 4","288_305_417",""
288,307,415,"OLV","Philadelphia","Tier 1","288_307_415",""
288,313,416,"OLV","Pittsburgh","Tier 3","288_313_416",""
288,298,416,"OLV","Providence","Tier 3","288_298_416",""
288,300,416,"OLV","Richmond","Tier 3","288_300_416",""
288,303,417,"OLV","Syracuse","Tier 4","288_303_417",""
288,309,418,"OLV","Tampa","Tier 2","288_309_418",""
288,306,418,"OLV","Washington, DC","Tier 2","288_306_418",""
6,312,416,"OOH","Dallas","Tier 3","6_312_416",""
6,308,418,"OOH","Los Angeles","Tier 2","6_308_418",""
6,297,415,"OOH","New York","Tier 1","6_297_415",""
6,307,415,"OOH","Philadelphia","Tier 1","6_307_415",""
6,309,418,"OOH","Tampa","Tier 2","6_309_418",""
6,306,418,"OOH","Washington, DC","Tier 2","6_306_418",""
183,304,417,"Online Display","Albany","Tier 4","183_304_417",""
183,311,416,"Online Display","Baltimore","Tier 3","183_311_416",""
183,310,418,"Online Display","Boston","Tier 2","183_310_418",""
183,302,417,"Online Display","Buffalo","Tier 4","183_302_417",""
183,312,416,"Online Display","Dallas","Tier 3","183_312_416",""
183,301,417,"Online Display","Harrisburg","Tier 4","183_301_417",""
183,308,418,"Online Display","Los Angeles","Tier 2","183_308_418",""
183,297,415,"Online Display","New York","Tier 1","183_297_415",""
183,299,416,"Online Display","Norfolk","Tier 3","183_299_416",""
183,41,417,"Online Display","Other","Tier 4","183_41_417",""
183,305,417,"Online Display","Palm Springs","Tier 4","183_305_417",""
183,307,415,"Online Display","Philadelphia","Tier 1","183_307_415",""
183,313,416,"Online Display","Pittsburgh","Tier 3","183_313_416",""
183,298,416,"Online Display","Providence","Tier 3","183_298_416",""
183,300,416,"Online Display","Richmond","Tier 3","183_300_416",""
183,303,417,"Online Display","Syracuse","Tier 4","183_303_417",""
183,309,418,"Online Display","Tampa","Tier 2","183_309_418",""
183,306,418,"Online Display","Washington, DC","Tier 2","183_306_418",""
72,311,416,"Radio","Baltimore","Tier 3","72_311_416",""
72,310,418,"Radio","Boston","Tier 2","72_310_418",""
72,308,418,"Radio","Los Angeles","Tier 2","72_308_418",""
72,297,415,"Radio","New York","Tier 1","72_297_415",""
72,299,416,"Radio","Norfolk","Tier 3","72_299_416",""
72,41,417,"Radio","Other","Tier 4","72_41_417",""
72,305,417,"Radio","Palm Springs","Tier 4","72_305_417",""
72,307,415,"Radio","Philadelphia","Tier 1","72_307_415",""
72,313,416,"Radio","Pittsburgh","Tier 3","72_313_416",""
72,298,416,"Radio","Providence","Tier 3","72_298_416",""
72,300,416,"Radio","Richmond","Tier 3","72_300_416",""
72,303,417,"Radio","Syracuse","Tier 4","72_303_417",""
72,309,418,"Radio","Tampa","Tier 2","72_309_418",""
72,306,418,"Radio","Washington, DC","Tier 2","72_306_418",""
64,304,417,"TV Cable","Albany","Tier 4","64_304_417",""
64,311,416,"TV Cable","Baltimore","Tier 3","64_311_416",""
64,310,418,"TV Cable","Boston","Tier 2","64_310_418",""
64,302,417,"TV Cable","Buffalo","Tier 4","64_302_417",""
64,312,416,"TV Cable","Dallas","Tier 3","64_312_416",""
64,301,417,"TV Cable","Harrisburg","Tier 4","64_301_417",""
64,308,418,"TV Cable","Los Angeles","Tier 2","64_308_418",""
64,297,415,"TV Cable","New York","Tier 1","64_297_415",""
64,305,417,"TV Cable","Palm Springs","Tier 4","64_305_417",""
